Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,309,106,3,3.4,2.9,7.76,0,0.71
2,309,98,5,1.5,4.3,7.96,1,0.82
3,314,111,3,1.6,3.8,7.19,1,0.8
4,291,104,4,1.1,5.0,7.66,1,0.53
5,304,106,2,3.7,4.2,7.54,0,0.44
6,296,103,3,4.9,1.1,9.42,0,0.81
7,314,106,2,5.0,3.3,8.95,1,0.62
8,326,116,1,1.0,3.8,9.77,1,0.59
9,320,95,4,2.0,4.2,8.54,0,0.53
10,296,97,1,2.4,1.6,7.97,1,0.44
11,298,117,2,4.6,1.7,7.92,0,0.75
12,300,103,5,3.4,2.6,7.41,0,0.91
13,327,110,4,3.9,4.3,7.63,0,0.59
14,301,102,4,3.3,1.2,7.41,1,0.48
15,304,116,5,4.2,3.8,7.66,0,0.76
16,312,104,5,1.5,1.6,8.71,1,0.74
17,292,115,1,1.1,2.6,9.09,1,0.76
18,307,91,4,3.2,2.0,8.98,1,0.4
19,303,94,3,1.3,3.1,9.99,1,0.76
20,292,101,3,1.6,4.9,9.82,1,0.91
21,306,106,4,4.3,4.8,9.38,0,0.94
22,313,114,3,3.2,3.8,9.12,1,0.44
23,302,91,4,2.1,2.8,9.68,0,0.45
24,295,100,2,1.0,2.1,8.45,0,0.48
25,303,111,2,1.9,4.2,9.56,1,0.64
26,316,93,3,1.7,2.8,8.62,1,0.93
27,302,108,3,3.6,4.6,7.71,1,0.77
28,319,102,2,1.3,2.6,9.55,1,0.85
29,311,95,4,2.0,4.3,9.92,0,0.8
30,309,105,4,4.5,1.3,9.86,0,0.78
31,303,91,5,3.7,2.9,8.35,0,0.86
32,326,106,4,3.2,4.3,7.35,0,0.85
33,294,104,3,1.5,4.3,8.64,1,0.67
34,325,95,2,4.1,1.1,7.2,1,0.84
35,326,109,3,4.7,2.0,7.62,0,0.65
36,312,118,5,4.7,2.2,9.87,1,0.87
37,305,98,4,4.4,2.7,7.51,1,0.43
38,311,98,3,3.4,4.8,8.61,1,0.96
39,324,102,4,4.4,1.6,7.3,1,0.98
40,312,98,5,3.2,2.4,7.5,0,0.6
41,314,110,3,2.0,3.7,8.02,1,0.92
42,311,106,2,1.2,1.1,9.66,1,0.51
43,316,90,5,2.1,4.4,9.24,1,0.76
44,329,110,1,4.2,2.1,9.32,0,0.96
45,298,100,5,4.8,4.2,8.3,1,0.95
46,302,103,5,2.3,3.6,9.76,0,0.6
47,297,113,3,3.3,2.9,7.48,1,0.8
48,308,103,5,2.7,3.8,8.35,0,0.57
49,337,118,1,2.7,3.7,7.2,1,0.45
50,297,119,3,3.4,1.1,9.08,0,0.4
51,324,101,1,4.5,3.9,8.23,1,0.73
52,338,118,3,2.8,4.2,8.65,1,0.51
53,340,115,3,4.2,2.9,7.22,1,0.88
54,319,101,1,1.5,4.7,9.1,0,1.0
55,296,100,2,4.0,2.5,7.72,1,0.69
56,296,102,2,4.9,3.7,7.51,0,0.92
57,304,103,4,1.6,1.0,8.83,1,0.95
58,302,106,5,4.8,2.5,7.24,0,0.41
59,335,108,4,4.4,2.4,7.77,1,0.98
60,311,119,5,2.3,3.1,9.58,0,0.95
61,325,115,4,2.7,4.0,8.32,0,0.99
62,304,106,5,2.7,1.2,9.99,1,0.88
63,331,118,5,4.0,4.2,9.31,1,0.55
64,292,94,4,4.7,3.0,9.29,0,0.6
65,337,114,5,3.0,3.5,9.1,1,0.82
66,324,106,3,1.9,3.9,9.55,0,0.78
67,296,97,4,4.1,4.6,8.92,0,0.44
68,336,118,3,1.6,4.3,8.9,0,0.42
69,315,115,4,2.0,2.6,8.89,0,0.61
70,315,98,5,4.6,2.6,8.73,0,0.58
71,316,98,1,3.5,4.9,7.59,1,0.62
72,339,120,1,4.4,2.0,9.27,1,0.99
73,319,90,5,3.2,2.0,8.22,1,0.55
74,340,108,3,3.1,4.3,7.79,0,0.51
75,312,105,2,3.5,4.8,9.47,0,0.5
76,301,94,1,2.8,3.3,8.24,1,0.93
77,332,104,5,2.0,4.3,8.54,0,0.78
78,304,94,2,3.6,3.2,7.79,1,0.4
79,323,110,5,2.3,2.1,7.42,1,0.94
80,309,98,1,4.8,3.6,8.5,1,0.73
81,299,94,2,3.0,1.9,9.3,0,0.88
82,308,113,4,1.5,3.5,7.46,0,0.81
83,319,97,5,2.2,1.1,8.2,0,0.94
84,339,91,4,3.8,3.9,8.38,0,0.41
85,307,111,4,2.7,4.8,9.1,1,0.98
86,294,120,3,2.2,4.6,7.68,0,0.44
87,318,91,5,3.2,4.7,9.56,1,0.45
88,304,99,1,1.5,4.2,9.78,0,0.95
89,312,118,2,3.7,3.8,8.78,1,0.46
90,319,113,2,2.7,3.6,8.01,0,0.48
91,309,95,5,4.0,4.2,7.28,1,0.69
92,298,114,2,2.7,4.8,7.23,1,0.78
93,309,99,2,4.0,4.5,7.7,0,0.76
94,322,99,5,3.7,1.1,7.55,1,0.6
95,306,120,1,2.9,3.1,8.34,1,0.79
96,322,106,2,1.7,1.3,8.22,1,0.54
97,321,102,3,2.8,1.5,8.19,0,0.82
98,326,98,3,3.2,4.6,9.96,0,0.49
99,319,93,1,2.1,1.5,8.16,0,0.63
100,313,109,5,1.1,4.1,7.02,1,0.77
